payment_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,created_at,recovered,recovered_amount
pay_00004,cust_0387,999,upi,failed,limit_exceeded,1,2026-08-13T18:07:57.926991,False,0
pay_00005,cust_0377,499,netbanking,failed,authentication_failed,1,2026-07-26T14:11:57.926996,True,499
pay_00006,cust_0185,1999,netbanking,failed,network_error,1,2026-07-24T17:07:57.927001,True,1999
pay_00009,cust_1120,499,upi,failed,limit_exceeded,1,2026-08-15T22:32:57.927014,True,499
pay_00011,cust_0041,4999,wallet,failed,insufficient_funds,1,2026-07-27T19:50:57.927023,False,0
pay_00012,cust_0040,199,netbanking,failed,limit_exceeded,1,2026-08-13T20:04:57.927028,False,0
pay_00013,cust_0994,499,wallet,failed,limit_exceeded,1,2026-08-04T18:04:57.927032,False,0
pay_00016,cust_0973,1999,card,failed,limit_exceeded,2,2026-08-06T22:53:57.927047,True,1999
pay_00017,cust_0887,299,netbanking,failed,insufficient_funds,1,2026-08-08T21:14:57.927051,False,0
pay_00019,cust_0900,9999,card,failed,insufficient_funds,1,2026-07-30T19:49:57.927060,True,9999
pay_00021,cust_0749,2499,netbanking,failed,limit_exceeded,2,2026-08-03T03:30:57.927070,True,2499
pay_00023,cust_0576,1999,card,failed,network_error,1,2026-08-21T04:16:57.927079,True,1999
pay_00025,cust_0746,2499,card,failed,limit_exceeded,1,2026-07-23T07:49:57.927087,True,2499
pay_00026,cust_0469,199,upi,failed,insufficient_funds,1,2026-08-16T06:17:57.927091,True,199
pay_00029,cust_0014,1999,wallet,failed,insufficient_funds,1,2026-08-04T12:08:57.927106,False,0
pay_00031,cust_0403,199,wallet,failed,insufficient_funds,1,2026-07-23T04:20:57.927115,False,0
pay_00035,cust_0940,199,wallet,failed,network_error,3,2026-08-03T12:44:57.927132,False,0
pay_00036,cust_0131,999,netbanking,failed,insufficient_funds,1,2026-07-26T19:56:57.927137,False,0
pay_00037,cust_0635,499,card,failed,timeout,1,2026-07-23T07:21:57.927141,False,0
pay_00041,cust_0190,499,upi,failed,timeout,3,2026-08-11T03:33:57.927159,False,0
pay_00049,cust_1466,1499,wallet,failed,authentication_failed,2,2026-08-08T05:56:57.927194,False,0
pay_00050,cust_0321,2499,card,failed,network_error,2,2026-08-04T08:41:57.927199,False,0
pay_00056,cust_0516,199,netbanking,failed,bank_error,1,2026-08-14T08:05:57.927225,True,199
pay_00057,cust_0274,4999,upi,failed,authentication_failed,1,2026-08-03T11:16:57.927229,True,4999
pay_00058,cust_0662,9999,wallet,failed,bank_error,3,2026-08-13T21:59:57.927233,False,0
pay_00061,cust_1483,199,wallet,failed,bank_error,2,2026-07-29T10:47:57.927248,True,199
pay_00063,cust_0424,9999,netbanking,failed,bank_error,3,2026-07-24T00:24:57.927257,False,0
pay_00064,cust_1285,499,wallet,failed,bank_error,1,2026-08-04T05:19:57.927261,True,499
pay_00069,cust_0340,499,wallet,failed,authentication_failed,1,2026-07-30T09:01:57.927283,False,0
pay_00072,cust_0996,299,wallet,failed,authentication_failed,1,2026-07-25T03:38:57.927296,False,0
pay_00075,cust_0537,1499,netbanking,failed,authentication_failed,3,2026-08-12T21:24:57.927310,False,0
pay_00079,cust_0576,1999,upi,failed,insufficient_funds,1,2026-07-24T20:25:57.927327,False,0
pay_00094,cust_0699,999,card,failed,insufficient_funds,1,2026-08-06T14:49:57.927393,False,0
