payment_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,created_at
pay_00001,cust_0853,499,wallet,success,,2,2026-08-09T08:30:57.926945
pay_00002,cust_1194,9999,wallet,success,,1,2026-08-20T00:27:57.926977
pay_00003,cust_0669,4999,wallet,success,,1,2026-07-30T02:50:57.926985
pay_00004,cust_0387,999,upi,failed,limit_exceeded,1,2026-08-13T18:07:57.926991
pay_00005,cust_0377,499,netbanking,failed,authentication_failed,1,2026-07-26T14:11:57.926996
pay_00006,cust_0185,1999,netbanking,failed,network_error,1,2026-07-24T17:07:57.927001
pay_00007,cust_0903,299,wallet,success,,1,2026-08-17T13:54:57.927005
pay_00008,cust_1095,199,upi,success,,1,2026-08-09T17:47:57.927010
pay_00009,cust_1120,499,upi,failed,limit_exceeded,1,2026-08-15T22:32:57.927014
pay_00010,cust_0606,999,wallet,success,,1,2026-08-12T06:28:57.927019
pay_00011,cust_0041,4999,wallet,failed,insufficient_funds,1,2026-07-27T19:50:57.927023
pay_00012,cust_0040,199,netbanking,failed,limit_exceeded,1,2026-08-13T20:04:57.927028
pay_00013,cust_0994,499,wallet,failed,limit_exceeded,1,2026-08-04T18:04:57.927032
pay_00014,cust_0927,199,netbanking,success,,2,2026-08-21T01:12:57.927037
pay_00015,cust_0009,199,netbanking,success,,1,2026-08-07T11:44:57.927042
pay_00016,cust_0973,1999,card,failed,limit_exceeded,2,2026-08-06T22:53:57.927047
pay_00017,cust_0887,299,netbanking,failed,insufficient_funds,1,2026-08-08T21:14:57.927051
pay_00018,cust_1456,299,upi,success,,2,2026-07-30T01:59:57.927055
pay_00019,cust_0900,9999,card,failed,insufficient_funds,1,2026-07-30T19:49:57.927060
pay_00020,cust_1064,9999,upi,success,,1,2026-08-18T05:49:57.927064
pay_00021,cust_0749,2499,netbanking,failed,limit_exceeded,2,2026-08-03T03:30:57.927070
pay_00022,cust_0974,1999,netbanking,success,,1,2026-08-21T12:48:57.927074
pay_00023,cust_0576,1999,card,failed,network_error,1,2026-08-21T04:16:57.927079
pay_00024,cust_1111,299,card,success,,1,2026-08-03T22:30:57.927083
pay_00025,cust_0746,2499,card,failed,limit_exceeded,1,2026-07-23T07:49:57.927087
pay_00026,cust_0469,199,upi,failed,insufficient_funds,1,2026-08-16T06:17:57.927091
pay_00027,cust_0273,1999,wallet,success,,1,2026-08-12T09:18:57.927096
pay_00028,cust_0115,2499,wallet,success,,2,2026-08-19T14:10:57.927101
pay_00029,cust_0014,1999,wallet,failed,insufficient_funds,1,2026-08-04T12:08:57.927106
pay_00030,cust_0558,499,netbanking,success,,1,2026-08-01T14:16:57.927110
pay_00031,cust_0403,199,wallet,failed,insufficient_funds,1,2026-07-23T04:20:57.927115
pay_00032,cust_0737,199,upi,success,,1,2026-07-24T08:57:57.927119
pay_00033,cust_0431,1499,wallet,success,,2,2026-08-05T12:18:57.927123
pay_00034,cust_1397,1999,upi,success,,1,2026-08-02T19:14:57.927128
pay_00035,cust_0940,199,wallet,failed,network_error,3,2026-08-03T12:44:57.927132
pay_00036,cust_0131,999,netbanking,failed,insufficient_funds,1,2026-07-26T19:56:57.927137
pay_00037,cust_0635,499,card,failed,timeout,1,2026-07-23T07:21:57.927141
pay_00038,cust_0881,299,wallet,success,,1,2026-08-13T09:23:57.927145
pay_00039,cust_0695,999,upi,success,,1,2026-08-11T09:53:57.927149
pay_00040,cust_0833,499,netbanking,success,,3,2026-08-01T13:58:57.927153
pay_00041,cust_0190,499,upi,failed,timeout,3,2026-08-11T03:33:57.927159
pay_00042,cust_1341,999,wallet,success,,2,2026-08-08T03:50:57.927163
pay_00043,cust_1049,499,upi,success,,1,2026-07-26T12:21:57.927167
pay_00044,cust_1207,499,netbanking,success,,3,2026-08-02T00:26:57.927171
pay_00045,cust_0126,199,upi,success,,1,2026-08-11T15:42:57.927176
pay_00046,cust_0488,1499,upi,success,,1,2026-08-10T06:40:57.927181
pay_00047,cust_1078,199,upi,success,,1,2026-07-23T17:43:57.927185
pay_00048,cust_1310,1499,wallet,success,,1,2026-07-28T14:00:57.927189
pay_00049,cust_1466,1499,wallet,failed,authentication_failed,2,2026-08-08T05:56:57.927194
pay_00050,cust_0321,2499,card,failed,network_error,2,2026-08-04T08:41:57.927199
pay_00051,cust_0004,9999,card,success,,1,2026-07-29T03:45:57.927203
pay_00052,cust_1082,999,wallet,success,,1,2026-07-24T13:02:57.927207
pay_00053,cust_0717,1999,wallet,success,,1,2026-08-21T18:49:57.927212
pay_00054,cust_0462,199,upi,success,,2,2026-08-04T23:15:57.927216
pay_00055,cust_0510,1999,wallet,success,,1,2026-08-15T06:17:57.927220
pay_00056,cust_0516,199,netbanking,failed,bank_error,1,2026-08-14T08:05:57.927225
pay_00057,cust_0274,4999,upi,failed,authentication_failed,1,2026-08-03T11:16:57.927229
pay_00058,cust_0662,9999,wallet,failed,bank_error,3,2026-08-13T21:59:57.927233
pay_00059,cust_0450,299,netbanking,success,,1,2026-07-29T14:32:57.927238
pay_00060,cust_0906,499,netbanking,success,,1,2026-07-27T00:33:57.927243
pay_00061,cust_1483,199,wallet,failed,bank_error,2,2026-07-29T10:47:57.927248
pay_00062,cust_0559,499,upi,success,,1,2026-08-07T14:57:57.927252
pay_00063,cust_0424,9999,netbanking,failed,bank_error,3,2026-07-24T00:24:57.927257
pay_00064,cust_1285,499,wallet,failed,bank_error,1,2026-08-04T05:19:57.927261
pay_00065,cust_0609,1999,wallet,success,,2,2026-07-24T11:48:57.927265
pay_00066,cust_1189,299,card,success,,1,2026-08-02T01:37:57.927271
pay_00067,cust_0676,999,card,success,,1,2026-07-28T13:23:57.927275
pay_00068,cust_0900,299,netbanking,success,,1,2026-08-12T14:17:57.927279
pay_00069,cust_0340,499,wallet,failed,authentication_failed,1,2026-07-30T09:01:57.927283
pay_00070,cust_0318,199,card,success,,1,2026-07-23T09:20:57.927288
